〆木,しめき
小金森,こがねもり
小金沢,おかねざわ,こかなざわ,こかねざわ,こがなざわ,こがねさわ,こがねざわ
小金淵,こがねぶち
小金渕,こがねぶち
小金澤,こかねざわ,こがねさわ,こがねざわ
小金石,こがねいし
小金谷,こがねや
小釜,こがま
小針,おはり,おばり,こはり,こばり
小釣,こつり
小鈴,こすず
小鈴木,こすずき
小鉄,こてつ
小鉢,こばち
小銭,こせに,こぜに
小錦,こにしき
小鍋,こなべ
小鍛治,おかじ,こかじ,こたじ,こたんじ
小鍜,こか
小鍜治,こかじ,こかぢ
小鎌,おがま
小鎚,こずち
小鑓,こやり
小長,おなが,こちょう,こなが
小長井,おながい,こながい
小長光,こながみつ
小長根,こながね
小長谷,おさたに,おさや,おながだに,おながや,おはせ,おはぜ,おばせ,こさや,こながたに,こながや,こはせ,こはぜ,こばせ
小長野,こながの
小門,おかど,こかど,こもん
小門前,こもんまえ
小門口,こかどぐち,こもんぐち
小開,こびらき
小閑,こが
小間,おはざま,おま,こま
小間井,こまい
小間口,こまぐち
小間喜,こまき
小間坂,こまさか
小間場,こまば
小間宮,こまみや
小間屋,こまや
小間木,おはざま,こまき
小間沢,こまざわ
小間海,おまみ,こまかい
小間物,こまもの
小間物谷,こまものや
小間西,こまにし
小関,おせき,おぜき,こせき,こぜき
小関川,こせきかわ,こせきがわ
小關,こせき
小阪,おさか,おざか,こさか,こざか
小阪井,こさかい
小阪田,こさかだ
小阿弥,こあみ
小阿瀬,こあせ
小阿見,こあみ
小阿野,こあの
小附,こふ
小院瀬見,こいんぜみ
小陣,こじん
小陳,こぢん
小陽,こよう
小隅,おすみ,こすみ,こずみ
小隈,こくま
小障子,こしょうじ
小雀,こすずめ
小雲,おぐも
小霜,こしも
小面,こも
小面原,おもはら
小鞠,こまり
小須戸,こすど
小須田,おすだ,こすだ,こずた
小須賀,こすが
小頭,こがしら
小風,こかぜ
小飛山,こびやま
小飯,こめし
小飯塚,こいいづか,こいづか
小飯田,こいいだ,こいだ
小飼,こがい
小餅,こもち
小餅谷,こもちや
小館,おだて,こたち,こたて,こだて
小首,こくび
小馬,こまさき,こんま
小馬井,こまい
小馬場,こはば
小馬崎,こまさき
小馬田,こまだ
小馬谷,こまや
小駒,おごま,ここま,こごま
小駕籠,こかご
小高,おだか,こたか,こだか
小高峯,こだかみね
小高根,おたかね,おだかね
小髪,こはつ
小鮒,おふな,おぶな,こふな,こぶな
小鯖,おさば,こさば
小鯛,こたい,こだい
小鯵,こあじ
小鱗,おいら
小鳥,おどり,ことり
小鳥井,ことりい
小鳥居,ことりい
小鳥川,ことりがわ
小鳥田,ことりだ
小鳥谷,こずや
小鳥遊,たかなし
小鳩,こばと
小鳶,ことび
小鴉,こがらす
小鴨,おがも,こかも,こがも
小鶴,こずる,こづる
小鷲,こわし
小鷹,おたか,おだか,こたか,こだか
小鷹狩,こたかがり,こたかり,こだかり
小鷺,こさぎ
小鹿,おが,おじか,こが,こしか,こしが,こじか,ころく
小鹿倉,こがくら
小鹿原,おがはら
小鹿山,おがやま
小鹿島,おがしま
小鹿野,おがの
小麥,こむぎ
小麦,こむぎ,こむぎざき
小麦崎,こむぎざき
小麦川,こむぎかわ
小麦田,こむぎた
小麻野,こあさの
小黒,おぐろ,こくろ,こぐろ
小黒川,おぐろがわ
小黒沢,おぐろさわ
小黒澤,おぐろさわ
小鼓,こつずみ
小鼻,こはな
小齊,こさい
小齊平,こさいひら,こさひら
小齋,こさい
小齋平,こさひら
少作,しょうさく
少内,しょうない
少前,しょうぜん
少名子,しょうなご
少寺,しょうでら
少山,しょうやま
少島,しょうしま
少弐,しょうに
少徳,しょうとく
少数,しょうすう
少林,こばやし,しょうばやし,しょうりん,わかばやし
少橘,しょうきつ
少田,しょうだ
少覚,しょうかく
少谷,しょうたに
少貳,しょうに
少路,しょうじ
尖,とがり
尖倉,いくら
尖崎,このさき
尚,しょう,たかし
尚原,なおはら
尚台,なおだい
尚司,しょうじ
尚和,しょうわ
尚山,なおやま
尚師,たかし
尚政,なおまさ
尚木,なおき
尚本,なおもと
尚村,なおむら
尚樹,しょうじゅ,なおき
尚武,しょうぶ
尚永,なおえ
尚田,なおた
尚野,なおの
尤,ゆう
尭,たかし
尭天,ぎょうてん
尭部,ぎょうぶ
就,しゅう
就本,しゅうもと
就鳥,しゅうとり
尹,い,いい,いうん,いし,いん,せい,ひ,ゆうん,ゆん,わん
尹戸,みなと
尹東,いとう
尺,せき
尺一,さかくに,かねかず
尺司,しゃくし
尺土,しゃくど
尺戸,しゃくど
尺田,しゃくだ,しやくだ,せきた
尺釆,しゃくさい
尺采,せきさい
尺野,しゃくの
尺金,さしがね
尺長,しゃくちょう,しゃくなが
尻ケ崎,しりがさき
尻井,しりい
尻口,しりぐち
尻家,しりいえ
尻屋,しりや
尻嵜,しりざき
尻引,しりびき
尻懸,しりかけ
尻手,しって
尻林,すずき
尻枝,しりえだ
尻江,しりえ
尻池,しりいけ
尻無,しなし,しりなし,しりなはま
尻無浜,しりなしはま
尻無濱,しなはま,しりなしはま
尻田,しりた,しりでん
尻石,しりいし
尻谷,しりたに
尻高,しりたか
尻高沢,しりたかざわ
尻高澤,しりたかざわ
尼,あま,あまがさき,あまさき,あまざき
尼ケ,あまがさき
尼ケ塚,あまがつか
尼ケ崎,あまがさき
尼ヶ崎,あまがさき
尼ヶ嵜,あまがさき
尼丁,あまちょう
尼中,あまなか
尼井,あまい
尼利,あまり
尼口,あまくち
尼地,あまち
尼城,あまき,あまぎ
尼塚,あまつか
尼子,あご,あし,あまこ,あまご,じこ,にし
尼宮,あまみや,あめみや
尼寺,あまでら,にいじ,にじ
尼尾,あまお
尼岡,あまおか
尼岸,あまぎし
尼崎,あまがさき,あまさき,あまざき
尼嵜,あまさき
尼川,あまかわ,あまがわ
尼御前,あまごぜん
尼戸,あまど
尼明,あまあけ
尼木,あまき,あまぎ
尼本,あまもと
尼森,あまもり,あめもり
尼池,あまいけ
尼沢,あめさわ,あめざわ
尼沼,あまぬま
尼津,あまつ,あまづ
尼海,あまうみ,あまがい
尼瀬,あませ
尼田,あまた,あまだ
尼留,あまどめ
尼知,あまち
尼笠,あまかさ,あまがさ
尼粕,あまかす,あまがす
尼義,あまぎ
尼羽,あまう,あまは,あまば,あもう
尼草,あまくさ,あまぐさ
尼見,あまみ
尼谷,あまたに,あまだに,あまや,あめたに,あめだに
尼貝,あまかい,あまがい
尼野,あまの
尽田,つくた
尾,おさき,おざき,おぜき,おたか,おだか,おはま,び
尾々野,おおの
尾ケ井,おがい
尾ケ口,おがくち,おがぐち,おけぐち
尾ケ崎,おがさき
尾ケ瀬,おがせ
尾ざき,おざき
尾の上,おのうえ
尾ノ上,おのうえ
尾ノ下,おのした
尾ノ井,おのい
尾ノ内,おのうち
尾ノ前,おのまえ
尾ノ口,おのくち
尾ノ岡,おのおか
尾ノ後,おのうしろ
尾ヶ井,おがい
尾ヶ瀬,おがせ
尾一,びいち
尾万,すえま
尾上,おうえ,おかみ,おがみ,おの,おのう,おのうえ,おのえ,おのかみ
尾下,おか,おけ,おした,おしも,おじた,おじも,おのした
尾世,びせ
尾世川,おせがわ
尾中,おなか
尾串,おぐし
尾乃塚,おのづか
尾久,おぎゅう,おぎゆう,おく,おぐ,おひさ
尾久保,おくば
尾久土,おきゅうど,おくゅうど
尾久田,おくた
尾久葉,おくは
尾久迫,おくさこ
尾之,おのさき
尾之上,おのうえ
尾之内,おのうち
尾之前,おのまえ
尾之口,おのくち
尾之崎,おのさき
尾之後,おのうしろ
尾之江,おのえ
尾之首,おのくび
尾亀,おがめ,びかめ
尾井,おい
尾井川,おいかわ
尾亦,おまた
尾仁,びじん
尾付野,おつけの
尾代,びしろ
尾仲,おなか
尾伊端,おいばた
尾位,おい
尾住,おずみ
尾佐,びさ
尾佐竹,おさたけ
尾作,おさく,おざく
尾保手,おぼて
尾俣,おまた
尾倉,おぐら
尾儀,おぎ
尾元,おもと
尾先,おさき
尾入,おいり,びいり
尾兼,びかね
尾内,おうち,おだい,おない,おのうち
尾凪,おなぎ
尾出,おいで,おで
尾刀,おがた
尾刃,おがた
尾分,びわけ
尾初瀬,おぱせ
尾利,びとし
尾利出,おりで
尾前,おさき,おざき,おのまえ,おまえ,びぜん
尾副,おぞえ
尾割,おわり
尾加,びか
尾加名,おがな
尾勝,おかつ,びかつ
尾勢,おせ,びせ
尾北,おきた,びきた
尾原,おはら,おばら
尾又,おまた,おまぬ
尾友,びとも
尾口,おくち,おぐち
尾古,おこ
尾古貴,おこぎ
尾可,おうが
尾台,おだい
尾合,びごう
尾吉,びよし
尾名,おみょう
尾名高,おなだか
尾向,おむかい,びむかい
尾吹,おぶき
尾呂,おろ
尾呂志,おろし
尾和,おわ
尾和瀬,おわせ
尾喜,おき
尾国,おくに
尾國,おぐに
尾園,おその,おぞの
尾土井,おどい
尾土平,おどひら
尾地,おち
尾坂,おさか,おざか
尾坐,おざ
尾坐原,おざはら,おざわら
尾坪,おつぼ
尾垣,おがき
尾垣内,おがいち
尾城,おしろ,おじろ
尾埜,おの
尾埼,おざき
尾堀,びほり
尾堂,おどう,びどう
尾堤,おづつみ,おづづみ
尾場,びば
尾場瀬,おばせ
尾塚,おづか
尾塩,おしお,おじお
尾多賀,おたが
尾大,びだい
尾太,おぶと
尾子,おおじ,おご,おじ
尾宅,びたく
尾宇江,おうえ
尾守,びもり
尾宗寺,おしゅうじ,びそうじ
尾定,おさだ
尾実,おざね,おみ
尾室,びむろ
尾宮,おみや,びみや
尾家,おいえ,おおや,おか,おけ,おのいえ,おや
尾寄,びより
尾寅,おとら
尾寺,おでら
尾小山,おこやま
尾小平,おこひら
尾小谷,びこたに
尾尻,おしり,おじり
尾居,おい
尾居土,おいど
尾屋,おや
尾屋家,おやけ
尾山,おのうえ,おのやま,おやま
尾岡,おおか
尾岩,びいわ
尾岸,おぎし
尾峪,おさか
尾島,おしま,おじま
尾崎,おさき,おざき,おぜき
尾嵜,おざき
尾嶋,おしま,おじま,こじま
尾嶌,おじま,びしま
尾嶝,おさこ,おとう
尾川,おかわ,おがわ,おのがわ,びかわ
尾川原,おがはら,おがわはら
尾市,おいち,びいち
尾幡,おはた,おばた
尾平,おだいら,おひら
尾平野,おびらの
尾広,びひろ
尾座,びざ
尾座元,おざもと
尾座原,おざはら
尾座本,おざもと
尾庭,びにわ
尾廣,おひろ
尾引,おびき
尾張,おはり,おばり,おわり
尾張谷,おわせ,おわりや
尾張部,おわりべ
尾形,おかた,おかだ,おがた
尾後,おご,びご
尾後家,おごけ
尾後貫,おごぬき
尾成,おなり,びなり
尾戸,おと,おど
尾手,びで
尾才,さい
尾抜,おぬき
尾持,おもち
尾故島,おこしま
尾敷,びしき
尾方,おかた,おがく,おがた
尾日,おび
尾日向,おひなた,おびなた
尾早,おはや
尾暮,おぐれ
尾曲,おきょく,おくま,おまがり
尾曽,おそ
尾曽越,おそごえ
尾曾,おそ
尾有,おあり
尾朝,おあさ,おとも
尾木,おき,おぎ
尾木原,おぎわら
尾末,びすえ
尾本,おのもと,おもと
尾杉,おすぎ
尾村,おのむら,おむら
尾来,おく
尾東,びとう
尾松,おまつ
尾板,おいた
尾林,おはやし,おばやし,びりん
尾枝,びえだ
尾柏,おかし,おかしわ
尾柳,おやなぎ
尾柴,びしば
尾柿,おがき
尾栄,おうえ,びえい
尾栗,びくり
尾栢,おがや
尾根,おね
尾根山,おねやま
尾根沢,おねざわ
尾根田,おねだ
尾桐,びきり
尾梶,おかじ
尾森,おもり
尾棹,おさお
尾植,おうえ
尾楠,おぐす
尾樽部,おたるべ
尾橋,おばし
尾櫃,おき
尾武,びたけ
尾比津,おひつ
尾比賀,おびか,おびが
尾毛,おもう
尾毛川,おもかわ,おもがわ
尾毛谷,おけたに
尾毫,おごう
尾水,びみず
尾永,おなが
尾江,おえ,びえ
尾池,おいけ,おおいけ,おち,おのいけ,びいけ
尾沢,おさわ,おざわ
尾河,おかわ,おがわ
尾治,びじ
尾沼,おぬま
尾泉,おいずみ
尾波,びなみ
尾洞,びどう
尾津,おつ,おづ
尾浜,おはま,おばま
尾浦,おうら
尾浪,おなみ,びなみ
尾浴,おさこ
尾海,おうみ
尾淵,おぶち
尾添,おぞえ
尾渕,おぶち
尾渡,おわたり,びわたり
尾溝,おみぞ
尾滝,おたき,おだき,びたき
尾潟,おがた
尾澤,おさわ,おざわ
尾濱,おはま
尾瀧,びたき
尾瀬,おせ,おぜ
尾瀬戸,おせど
尾瀬田,おせだ
尾無,おなし
尾焼津,おやいづ
尾熊,おくま,おぐま
尾熨斗,おのし
尾片,おかた
尾牧,びまき
尾玉,びだま
尾生,びお
尾生屋,おぶや
尾田,おた,おだ,びだ
尾田原,おだはら
尾田島,おだじま
尾田川,おだかわ,おだがわ
尾町,おまち
尾畑,おはた,おばた
尾留,びとめ
尾留川,おるかわ,びるかわ
尾畠,おばた
尾登,おと,おのぼり
尾白,おじろ,おはく
尾盛,おもり
尾目,おめ,びめ
尾県,おがた
尾矢,おや
尾矢島,おやじま
尾知,おち
尾知山,おちやま
尾石,おいし,おせき,おぜき,おたに
尾硲,おさか
尾碕,おざき
尾神,おがみ
尾科,おしな
尾種,おたね
尾窪,びくぼ
尾立,おたち,おだち,おだつ,おだて,おりゅう
尾竜,おりゅう
尾端,びはし
尾竹,おたけ,おだけ
尾笹,おざさ
尾篭,おこもり,おごもり
尾籐,おとう,おどう
尾籠,おかご,おごもり
尾糠,おぬか
尾納,おのう,びのう
尾続,おつづき
尾縄,びなわ
尾縣,おがた
尾繩,びなわ
尾續,おつづき
尾美,おみ
尾美野,おみの
尾羽,おば
尾羽林,おばばやし
尾羽沢,おばさわ,おばざわ
尾羽澤,おばざわ
尾羽瀬,おばせ
尾股,おまた
尾能,びのう
尾脇,おわき
尾臺,おだい
尾舘,びだて
尾芝,びしば
尾芦,おあし
尾花,おはな,おばな
尾花山,おばなやま
尾苗,おなえ
尾若,おわか,びわか
尾茂,おも
尾茂弥,おもや
尾茂田,おもだ
尾茂谷,おもや
尾華,おばな
尾葉石,おばいし
尾蔵,びくら
尾薗,おぞの
尾藤,おとう,おどう,おふじ,びとう
尾西,おにし,びさい
尾見,おみ,おみの
尾見谷,おみたに
尾見門,おみかど
尾角,おかく,おかど,びすみ
尾谷,おたに,おだに,おや
尾賀,おが
尾賀田,おがた
尾越,おこし,おこせ,おごえ,おごし,おごせ,びこし
尾路,おのみち,おろ
尾身,おしん,おみ
尾車,おぐるま
尾辺,おべ
尾辻,おつじ
尾込,おごみ,おごもり
尾近,おこん
尾迫,おさこ,おざこ
尾通,おみち
尾造,おぞう
尾道,おのみち,おみち
尾邊,おべ,びべ
尾邑,おむら
尾那,おな
尾部,おべ
尾郷,おごう
尾郷原,おごうはら
尾都野,おづの,おとの
尾里,おざと,びさと
尾重,びしげ
尾野,おの
尾野上,おのがみ
尾野寺,おのでら
尾野山,おのやま
尾野島,おのしま
尾野崎,おのさき
尾野嶋,おのしま
尾野川,おのがわ
尾野本,おのもと
尾野村,おのむら
尾野松,おのまつ
尾野田,おのだ
尾野畑,おのはた
尾野藤,おのふじ
尾野間,おのま
尾金,びかね
尾金沢,おかのもと,おがねざわ,おこんそう
尾釜,おかま
尾針,おはり
尾銭,おぜに
尾鍋,おなべ
尾長,おなが
尾長谷,おはや
尾門,おかど
尾間,おま
尾間谷,おまや
尾関,おせき,おぜき
尾關,おぜき
尾阪,おさか,おざか
尾隠山,おじゃま
尾面,びも
尾頃,おごろ
尾頭,びとう
尾食,おくい
尾館,びかた
尾首,おくび,おくぴ,そくび
尾高,おたか,おだか,すえたか
尾鮭,おざけ
尾鳥,おとり,びとり
尾鶴,びつる
尾鷲,おわし
尾鷹,おたか,おだか
尾鹿,びしか
尾黒,おぐろ
尾鼻,おばな
尾﨑,おざき
局,つぼね
屁奈,へな
居,い,いざき,わかし
居ケ内,おりかない,おりがない
居ヶ内,おりかない
居上,いかみ,いのうえ
居下,いしずかわ,いした,いしづがわ,いのした
居串,いぐし
居也,いなり
居井,いのい
居仙,いせん
居代,いしろ
居作,いずくり,いづくり
居倉,いぐら
居内,いうち,いない
居出,いで
居出下,いでした
居初,いそめ
居升,います
居原,いのはら,いはら,いばら
居原田,いはらだ
居合,いあい
居吹,いぶき
居和,いわ
居在家,いざいけ
居地,いぢ
居坂,いさか
居垣,いがき
居城,いき,いしろ,いじょう,いじろ,いのしろ,きじょう,きょじょう,こじょう,すえしろ
居埜,いの
居場,いば
居塚,いづか
居壁,いかべ
居守,いもり
居安,いやす
居家野,いかの
居宿,いすき
居山,いやま
居島,いじま,おりしま
居崎,いざき
居嶋,いじま,おりしま
居川,いかわ,いがわ
居平,いだいら,いひら
居弥口,いやぐち
居成,いしろ
居戸,いど,おりと
居敷,いしき
居月,いづき
居木,いき
居木井,いきい
居本,いのもと,いもと,おりもと
居村,いのむら,いむら,おりむら,すえむら
居松,いまつ,すえまつ
居林,いばやし
居森,いもり
居椿,いつばき
居樹,すえき
居橋,いばし
居永,いなが
居沢,いざわ
居波,いなみ
居潟,いがた
居澤,いざわ
居田,いだ,こた
居町,いまち
居畑,いばた
居相,いあい
居石,いいし,いせき,おりいし,きょせき,すえいし
居神,いかみ,いがみ
居福,いふく
居穀,いこく
居積,すえずみ
居立,いだて
居築,いずき,いつき
居細工,いざいく
居組,いぐみ
居組谷,いそたに
居織,いおり
居聞,いき
居能,いのう
居舘,いだて
居蔵,いくら
居藏,いぐら
居藤,いとう
居谷,いたに
居貞,いさだ,おきさだ
居賀井,いがい
居軒,いのき
居迫,いさこ,いざこ
居郷,いごう
居酒,いさけ
居野,いの
居野上,いのうえ
居野家,いのや
居鈴,いすず
居長,いちょう,いなが
居関,いせき
居阪,いさか
居附,いつき,いづけ
居館,いだて
居馬,いば
居駒,いこま
居高,いだか
居鳥,いとり
居鶴,いづる
屈,くつ
屈原,くつげん
屈岡,くつおか
届木,とどき
屋,おく
屋ケ田,やがた,やけた
屋ヶ田,やがた,やげた
屋上,やがみ
屋下,やした
屋並,やななみ
屋中,やなか
屋久,やく,やひさ
屋亀,やかめ,やがめ
屋井,やい
屋亘,やわり
屋代,おくしろ,やしろ,やじろ,やだい
屋代崎,やよざき
屋仲,やなか
屋住,やずみ
屋保,やほ
屋内,やうち,やない
屋冨祖,やふそ
屋北,やきた
屋原,おくはら,やはら
屋口,やぐち
屋名池,やないけ
屋吹,やぶき
屋和田,やわた,やわだ
屋喜,おくき
屋嘉,やか
屋嘉比,やかひ,やかび,やがい,やがひ,やきひ,やきび
屋嘉部,やかぶ,やかべ
屋園,おくぞの
屋地,やち
屋地元,やじもと,やちもと
屋地岡,やじおか
屋垣,やがき
屋城,やしろ
屋堂,おどう
屋子,やこ
屋宜,おくぎ,やぎ,やのぶ
屋宣,やぎ
屋宮,おくみや
屋家,おくいえ
屋富祖,やふそ
屋尾,やお
屋山,ややま
屋島,おくしま,やしま,やじま
屋崎,おくざき,やざき
屋嶋,おくしま,やしま,やじま
屋広,やひろ
屋式,やしき
屋形,やかた,やがた
屋形場,やかたば
屋後,やご
屋慶名,やけな,やむな
屋成,やなり
屋我,やが
屋戸,やと
屋所,やどころ
屋敷,やしき
屋敷平,やしきひら
屋敷田,やしきだ
屋方,やかた
屋木,やき,やぎ
屋本,やもと
屋村,やむら
屋林,やばやし
屋柳,ややなぎ
屋根,やとね,やね
屋根下,やねした
屋根中,やねなか
屋根佐,やねさ
屋根内,やねうち
屋根本,やねもと
屋根田,やねた
屋根谷,やねや
屋森,やもり
屋次,やじ
屋武,やぶ
屋比久,やひき,やひく,やひひさ,やびく,やびひさ
屋沢,やさわ,やざわ
屋淵,やぶち
屋渕,やぶち
屋渡,やわた
屋澤,やざわ
屋片,やかた,やがた
屋田,おくた,おくだ,やた,やだ
屋祢,やね
屋祢下,やねした
屋祢佐,やらさ
屋祢本,やねもと,やのさわ
屋禰本,やねもと
屋称下,やねした
屋種,やたね
屋納,やのう
屋綿,やわた
屋舗,やしき
屋舗田,やしきだ
屋良,おくら,かわさき,やうら,やよし,やら
屋良部,やらべ
屋葺,やぶき
屋蔵,やくら
屋藤,やとう,やふじ
屋谷,やたに
屋貝,やがい
屋賀部,やがべ
屋部,やべ
屋野,おくの,やの
屋野丸,やのまる
屋金,やかね
屋鋪,やしき
屋附,やつき
屋須,やす
屋頭,やず
屋馬崎,やばさき
屋麻戸,やまと
屏,へい
屏之内,へいのうち
屏賀,びょうが
屏風,びょうぶ
屏風嶽,びょうぶがたけ,びょうぶだけ
屑屋,くずや
展眉,てんび
属,さっか,さつか,ぞく
属増,さかんぞ,さかんぞう
屠,と
履中,りちゅう
履輪,くつわ
屬,さっか,さつか
屯,たむろ
屯倉,とんくら,みやけ
屯田,みだく
山,せん,たか,のぼる,やま,やまさ,やまさき,やまざき,やまたか
山々亭,さんさんてい
山ケ城,やまがじょう
山ケ野,やまがの
山ケ鼻,やまがはな
山さき,やまさき
山だ,やまだ
山のい,やまのい
山ノ上,やまのうえ
山ノ下,やまのした
山ノ丸,やまのまる
山の井,やまのい
山ノ井,やまのい
山ノ先,やまのさき
山ノ内,やまのうち
山の口,やまのぐち
山ノ口,やまのくち
山ノ寺,やまのてら
山ノ川,やまのかわ
山の平,やまのひら
山ノ平,やまのひら
山ノ目,やまのめ
山ノ石,やまのいし
山ノ端,やまのは
山ノ腰,やまのこし
山ノ辺,やまのべ
山ノ邉,やまのべ
山ノ音,やまのおと
山ノ鼻,やまのはな
山一,やまいち
山丈,やまじょう,やまたけ
山上,さんじょう,やまうえ,やまかみ,やまがみ,やまじょう,やまのうえ,やまのえ,やまのかみ
山下,やまさき,やました,やましも,やまのした,やまもと,よました
山下谷,やましたや
山下部,やまかべ
山与,やまよ
山世,やまよ
山丘,やまおか
山並,やまなみ
山中,やなまか,やまなか
山中山,やまなかやま
山中島,やまなかじま
山中嶋,やまなかじま
山丸,やままる
山主,やまぬし
山乃,やまの
山久,やまひさ
山久保,やまくぼ
山久瀬,やまくせ
山之上,やまのうえ,やまのかみ,やまのがみ
山之下,やまのした
山之井,やまのい
山之内,やまのうち
山之口,やまのくち,やまのぐち
山之坊,やまのぼう
山之城,やまのじょう
山之川,やまのかわ
山之平,やまのひら
山之氏,やまのうじ
山之江,やまのえ
山之端,やまのは
山之腰,やまのこし
山乗,やまのり
山乙,やまおつ
山亀,やまかめ
山二,やまに
山井,やまい,やまのい
山仁,やまじん
山今,やまいま
山代,やましろ,やまだい
山代屋,やましろや
山代谷,やましろ
山仲,やまなか
山伏,やまぶし
山伝,やまでん
山住,やますみ,やまずみ
山佐,やまさ
山作,やまさく
山佳,やまよし
山保,さんぽ,やまほ
山信,やまのぶ
山信田,やましだ,やまにた
山倉,やまくら
山側,やまがわ
山像,やまがた
山元,やまげん,やまもと
山先,やまさき,やまざき
山光,やまこう,やまみつ
山入,やまいり
山入波,やまのは
山入端,やまいりはし,やまいりばた,やまには,やまぬは,やまのくち,やまのは
山八,やまはち
山六,やまろく
山内,さんない,やまうち,やまち,やまない,やまのうち
山冨,やまとみ
山出,やまいで,やまで
山出谷,やまでだに,やまでや
山分,やまわけ
山切,やまぎり
山初,やまはつ
山則,やまのり
山前,やまさき,やままえ
山副,やまぞえ
山加,やまか
山勝,やまかつ
山勢,やませ
山北,やまきた
山千代,やまちよ
山南,さんなん,やまなみ,やまみなみ
山博,やまひろ
山原,やまはら
山去,やまさる
山友,やまとも
山取,やまとり,やまどり
山口,やぐち,やまくち,やまぐち
山口屋,やまぐちや
山口谷,やまぐちや
山古,やまこ
山台,やまだい
山司,やまじ
山合,やまあい
山吉,やまよし
山同,さんどう
山名,やまな
山名田,やまなだ
山向,やまむかい
山吹,やまぶき
山和,やまわ
山咲,やまさき,やまざき
山品,やましな
山商,やましょう
山善,やまぜん
山喜,やまき
山喜多,やまきた
山国,やまくに
山國,やまくに
山園,やまぞの
山土,やまつち
山土井,やまどい
山地,さんち,やまじ,やまち,やまぢ
山坂,やまさか,やまざか
山垣,やまがき
山垣内,やまかきうち,やまがきうち,やまごうち
山城,えるなん,さんじょう,やまき,やまぎ,やましろ
山城屋,やましろや
山城戸,やまきど
山城谷,やましろや
山埜,やまの
山埜井,やまのい
山埜辺,やまのべ
山埜邊,やまのべ
山基,やまもと
山埼,やまざき
山堀,やまほり,やまぼり
山場,やまば
山塙,やまはな
山塚,やまつか
山境,やまさかい
山増,やまます
山壁,やまかべ
山士家,やましげ
山壺,やまつぼ
山外,やまそと
山外森,さんともり
山多,やまた,やまだ
山大路,やまおおじ
山夲,やまもと
山奇,やまき
山奈,やまな
山奥,やまおく
山奧,やまおく
山姥,やまうば
山姿,やますがた
山子,やまこ,やまご,やまね
山子沢,やまこさわ
山季,やますえ
山宅,やまたく
山守,やまもり
山安,やまやす
山宗,やまむね
山室,やまむろ
山宮,さんぐう,やまみや
山家,さんか,さんが,さんけ,さんべ,さんや,やまいえ,やまうち,やまか,やまが,やまけ,やまげ,やまのえ,やまのべ,やまべ,やまや,やんべ
山家谷,やまがたに
山宿,やまやど
山寄,やまより
山富,やまとみ
山富士,やまふじ
山寺,そわ,やまてら,やまでら
山小,やましょう
山小屋,やまごや
山小瀬,やまこせ
山小田,やまおだ
山小路,やましょうじ
山尻,やまじり
山尾,えりあね,やまお,やまのお
山居,やまい
山屋,やまおく,やまや
山山,やまやま
山岐,やまき
山岡,やまおか
山岨,やまそば
山岩,やまいわ
山岬,やまさき,やまざき
山岳,やまたけ
山岸,やまきし,やまぎし
山峯,やまみね
山峰,やまみね
山島,やましま,やまじま
山崎,やまさ,やまさき,やまさぎ,やまざ,やまざき
山崖,やまがけ
山崩,やますえ
山嵜,やまき,やまさき,やまざき
山嶋,やましま,やまじま
山嶺,やまみね
山嶽,やまたけ
山川,やまかわ,やまがわ
山巡,やまめぐり
山巣,やます
山巻,やままき
山市,やまいち
山師,やまし
山幡,やまはた
山平,やまだいら,やまひら
山広,やまひろ
山庄,やましょう
山庄司,やましょうじ
山床,やまとこ
山府木,やまふぎ
山座,やまざ
山廣,やまひろ
山延,やまのべ
山廻,やままわり
山廼辺,やまのべ
山廼邉,やまのべ
山引,やまびき
山張,やまはり
山当,やまあて
山形,やまかた,やまがた
山形屋,やまがたや
山形谷,やまがただに
山彦,やまびこ
山影,やまかげ
山後,さんご,やまあと,やまうしろ,やまこう,やまご,やまごし,やまのち
山徳,やまとく
山志田,やましだ
山恒,やまがき
山慶,やまよし
山懸,やまかけ
山成,やませい,やまなり
山我,やまが
山戸,やまと,やまど,やまべ
山戸田,やまとだ
山手,やまて,やまで,やまのて
山打,やまうち
山折,やまおり
山抱,やまだき
山持,やまもち
山数,やまかず
山敷,やましき
山文,やまふみ
山新,やましん
山新田,やまにた
山方,やまかた,やまがた
山日,やまび
山明,やまあき
山星,やまほし
山春,やまはる
山時,やまとき
山景,やまかげ
山月,やまつき
山木,やまき,やまぎ
山木戸,やまきど
山木田,やまきた
山末,やますえ
山本,いのうえ,やまもと,やもまと
山本寺,さんぼんじ
山本屋,やまもとや
山本浜田,やまもとはまだ
山杉,やますぎ
山材,やまざい
山村,やまむら
山条,さんじょう,やまじょう
山杢,やまもく
山来,やまき,やまく
山来多,やまきた
山東,さんとう,さんどう,やまとう,やまひがし
山松,やままつ
山松亭,さんしょうてい
山板,やまいた
山林,さんりん,やまはやし,やまばやし
山林堂,さんりんどう
山枝,やまえだ
山枡,やまます
山柄,やまがら
山柴,やましば
山柾,やままさ
山柿,やまがき
山栄,やまえ
山栗,やまくり
山根,やまね
山根木,やなねぎ,やまねき,やまねぎ
山根澤,やまねざわ
山桐,やまきり,やまぎり
山桑,やまくわ
山桝,やまます
山梅,やまうめ
山條,やまじょう
山梨,やまなし
山梶,やまかじ
山森,やまもと,やまもり
山植,やまうえ
